restaurant_name,cuisine_type,city,rating,number_of_reviews,price_range,avg_meal_cost,has_delivery,has_outdoor_seating,phone,date_opened
Mama Rosa's Kitchen,Korean,New York,5.0,104,$$$$,49.47,True,False,(541) 397-6915,2014-03-03
Café Mocha,Chinese,New York,3.7,105,$,12.83,No,False,(992) 290-2756,2020-01-02
Seafood Shack,Chinese,Chicago,4.2,85,$,9.56,False,False,(830) 930-4527,2011-09-15
Ramen Republic,Mediterranean,Seattle,4.8,159,$$$,76.7,Yes,True,(906) 528-3946,2009-02-02
The Dumpling Den,thai food,New York,4.1,681,$,16.67,Yes,False,(839) 391-4095,2016-09-21
Ramen Republic,Mexican,Houston,3.8,350,$$,19.64,Yes,N,(557) 326-4357,2010-02-06
Kebab King,French,Los Angeles,3.4,128,$$,20.43,False,False,(501) 237-5709,09/17/2008
BBQ Smoke House , American,San Francisco,3.9,4,$,10.04,yes,False,(972) 899-7998,2016-04-29
The Grill House, American,Boston,3.6,86,$$,24.8,True,False,(304) 490-7335,2016-12-22
The Pancake Spot,Indian,Houston,2.9,480,$$$,43.2,True,Y,N/A,2006-02-15
Curry House,Korean,Chicago,3.3,138,$$,17.99,False,False,N/A,2019-11-22
BBQ Smoke House,italian,Denver,4.0,450,$,14.81,yes,N,(643) 608-5526,2006-11-10
Spice Route, American,Denver,3.9,315,$$,27.95,Yes,N,(306) 833-4693,2013-10-19
BBQ Smoke House,italian,San Francisco,3.9,483,$$,18.92,True,N,(443) 500-5782,2020-04-18
Ramen Republic,Italian,Miami,3.9,121,$$$$,111.42,False,False,N/A,2020-08-17
Curry House,American,Chicago,4.1,264,$$$,45.76,No,True,(326) 635-5199,2021-06-05
STEAKHOUSE 55,Korean,San Francisco,3.1,798,$,9.72,No,True,(447) 929-4949,11/14/2019
Pasta La Vista,italian,Miami,3.7,22,$$,30.13,Yes,True,N/A,2016-05-23
Café Mocha,Mexican,Phoenix,3.1,133,$$,27.1,,False,(220) 768-6819,2020-07-14
Kebab King,thai food,Boston,3.1,140,$$,27.55,False,Y,(883) 992-6226,2016-02-13
Taco Fiesta,chinese,Chicago,4.7,794,$,7.96,False,True,(585) 899-5345,2023-11-15
Lobster Lounge,french ,San Francisco,2.7,-1,$$,27.84,False,False,(583) 860-3537,2012-11-03
Seafood Shack,Korean,seattle,4.1,-1,$,13.73,True,False,(434) 299-4853,2014-09-27
Ramen Republic,Korean,San Francisco,4.1,169,$$,29.14,Yes,,(549) 411-9673,10/06/2006
Falafel Factory,Mexican,Phoenix,4.8,128,$$$,59.94,yes,N,(543) 546-6925,2007-02-11
Burger Barn,Japaneese,Boston,4.1,108,$$$,35.57,True,N,N/A,2012-01-16
